Continent,Country,Total_Cases,Total_Deaths,Total_Cases_Per_Million,Total_Deaths_Per_Million,Total_tests,Positive_rate,Total_Vaccinations,People_Vaccinated,People_Fully_Vaccinated,Median_Age,GDP_Per_Capita,density,pop2021,Vaccinatiegraad
Azië,Georgia,635583.0,9269.0,159703.33,2329.027,8900000.0,0.055,1882118.0,1002488.0,879630.0,38.7,9745.079,57.0985,3979765.0,22.102561332138958
Europa,Germany,4323346.0,94308.0,51529.46,1124.046,75158696.0,0.066,109141510.0,57022688.0,54312772.0,46.6,45229.245,234.9403,83900473.0,64.73476257994398
Afrika,Ghana,128368.0,1158.0,4045.364,36.493,,,2189552.0,1369515.0,820037.0,21.1,4227.63,133.0304,31732129.0,2.5842482866497862
Europa,Greece,679157.0,15177.0,65487.761,1463.443,21991126.0,0.012,12315494.0,6504849.0,6255864.0,45.3,24574.382,78.5722,10370744.0,60.322229533387386
Noord-Amerika,Greenland,,,,,,,76359.0,39951.0,36408.0,,,0.0263,56877.0,64.01181496914394
Noord-Amerika,Grenada,5653.0,183.0,50019.909,1619.254,,,62095.0,35762.0,26333.0,29.4,13593.877,328.5494,113021.0,23.299209881349483
Noord-Amerika,Guatemala,579774.0,14066.0,31768.668,770.745,2228737.0,0.165,7650606.0,4844170.0,2806436.0,22.9,7423.808,167.6006,18249860.0,15.377849473913772
Afrika,Guinea,30523.0,383.0,2261.426,28.376,,,1857641.0,1256095.0,601546.0,19.0,1998.926,54.8988,13497244.0,4.456806145017457
Afrika,Guinea-Bissau,6119.0,141.0,3035.986,69.958,,,117768.0,108632.0,9139.0,19.4,1548.675,55.7922,2015494.0,0.453437221842387
Zuid-Amerika,Guyana,33748.0,842.0,42701.204,1065.379,,,586207.0,366190.0,220017.0,26.3,7435.047,3.6765,790326.0,27.83876526901557
Noord-Amerika,Haiti,22614.0,643.0,1959.333,55.711,,,88133.0,62929.0,25545.0,24.3,1653.173,415.9166,11541685.0,0.22132816828738613
Noord-Amerika,Honduras,370262.0,10009.0,36794.417,994.634,,,5817602.0,3336972.0,2481005.0,24.9,4541.795,89.4552,10062991.0,24.654747281399736
Azië,Hong Kong,12268.0,213.0,1624.298,28.201,25906063.0,0.0,8835322.0,4540819.0,4294503.0,44.8,56054.92,6841.3134,7552810.0,56.8596720955512
Europa,Hungary,829456.0,30303.0,86095.293,3145.37,6620866.0,0.05,12111107.0,5911737.0,5682396.0,43.4,26777.561,103.562,9634164.0,58.98172379046069
Europa,Iceland,12243.0,33.0,35656.454,96.109,650933.0,,558483.0,282036.0,277210.0,37.3,46482.958,3.3335,343353.0,80.73615200682679
Azië,India,33985920.0,450963.0,24390.483,323.64,583631490.0,0.014,954908095.0,685337489.0,269570606.0,28.2,6426.674,423.8391,1393409038.0,19.34612153707015
Azië,Indonesia,4228552.0,142716.0,15300.784,516.41,,,157929575.0,100322375.0,57607200.0,29.3,11188.744,145.1046,276361783.0,20.84485031709323
Azië,Iran,5716394.0,122868.0,67228.947,1445.017,33350660.0,0.106,57676540.0,40961153.0,16715387.0,32.4,19082.62,51.589,85028759.0,19.6585098931057
Azië,Iraq,2024705.0,22591.0,49167.968,548.6,15338457.0,0.107,,,,20.0,15663.986,93.9488,41179350.0,
Europa,Ireland,404514.0,5280.0,81180.372,1059.623,7668724.0,0.073,7238787.0,3777477.0,3697101.0,38.7,67335.293,70.9078,4982907.0,74.19566530139936
Europa,Isle of Man,,,,,,,129494.0,65485.0,64009.0,,,149.3182,85410.0,74.94321508020138
Azië,Israel,1307870.0,7940.0,148794.463,903.322,28327710.0,0.021,15647667.0,6188116.0,5687293.0,30.6,33132.32,423.1957,8789774.0,64.7035179744098
Europa,Italy,4701832.0,131335.0,77886.847,2175.592,95331171.0,0.009,86449863.0,45821960.0,41766516.0,47.9,35220.084,200.3328,60367477.0,69.18711543965968
Noord-Amerika,Jamaica,86384.0,2025.0,29051.658,681.024,617665.0,0.141,836309.0,551804.0,319092.0,31.4,8193.571,270.5362,2973463.0,10.731325730301672
Azië,Japan,1712127.0,17972.0,13582.834,142.577,24344819.0,0.014,175700765.0,93651522.0,82049243.0,48.2,39002.223,333.5295,126050804.0,65.09220123657443
Azië,Jordan,834778.0,10818.0,81290.896,1053.46,10237614.0,0.036,7153612.0,3784104.0,3369508.0,23.2,8337.49,114.9406,10269021.0,32.81235864645715
Azië,Kazakhstan,984398.0,16473.0,51824.174,867.23,,,14760444.0,7859131.0,6901313.0,30.6,24055.588,6.9709,18994962.0,36.332333805142646
Afrika,Kenya,251248.0,5190.0,4569.333,94.388,,,4183552.0,3135700.0,1047852.0,20.0,2993.028,94.743,54985698.0,1.9056810009031804
Oceanië,Kiribati,2.0,,16.476,,,,45402.0,37643.0,7759.0,23.2,1981.132,149.6819,121392.0,6.3916897324370625
