Continent,Country,Total_Cases,Total_Deaths,Total_Cases_Per_Million,Total_Deaths_Per_Million,Total_tests,Positive_rate,Total_Vaccinations,People_Vaccinated,People_Fully_Vaccinated,Median_Age,GDP_Per_Capita,density,pop2021,Vaccinatiegraad
Azië,Pakistan,1259648.0,28152.0,5593.465,125.009,19911021.0,0.022,92597193.0,64463928.0,34299139.0,23.5,5034.708,255.3542,225199937.0,15.23052779539632
Oceanië,Palau,5.0,,275.118,,,,,,,,13240.405,39.5839,18169.0,
Azië,Palestine,443766.0,4504.0,84967.783,862.38,,0.778,2301812.0,1416215.0,1176037.0,20.4,4449.898,839.6701,5222748.0,22.517590356647496
Noord-Amerika,Panama,469190.0,7271.0,107082.303,1659.446,3906709.0,0.034,5271936.0,2951452.0,2316857.0,29.7,22267.037,58.098,4381579.0,52.877216181655065
Oceanië,Papua New Guinea,23026.0,245.0,2525.056,26.867,,,194962.0,133741.0,61221.0,22.6,3823.194,19.7023,9119010.0,0.6713557721726372
Zuid-Amerika,Paraguay,460218.0,16207.0,63745.275,2244.848,1846953.0,0.013,4836914.0,2838640.0,1998274.0,26.5,8827.01,17.7495,7219638.0,27.678312956965435
Zuid-Amerika,Peru,2184676.0,199703.0,65489.038,5986.406,,,29511990.0,16784075.0,12727915.0,29.1,12236.706,25.9563,33359417.999999996,38.153888056440316
Azië,Philippines,2674814.0,39660.0,24087.244,357.146,20507811.0,0.197,50066590.0,,23360489.0,25.2,7599.188,324.3638,111046913.0,21.036594686787915
Europa,Poland,2923304.0,75869.0,77342.223,2007.276,20707050.0,0.035,37666261.0,19885124.0,19540515.0,41.8,27216.445,120.8812,37797005.0,51.69858035048015
Europa,Portugal,1075639.0,18048.0,105787.485,1774.994,19023656.0,0.016,16042424.0,8957792.0,8729560.0,46.2,27936.896,110.4129,10167925.0,85.85389841093438
Azië,Qatar,237483.0,607.0,81037.726,207.13,2723342.0,,4767210.0,,,31.9,116935.6,252.937,2930528.0,
Europa,Romania,1365788.0,39629.0,71403.402,2071.804,13294804.0,0.223,10763280.0,6130679.0,5531778.0,43.0,23313.199,80.237,19127774.0,28.92013466909427
Europa,Russia,7687559.0,213522.0,52686.262,1463.361,195638185.0,0.049,94671192.0,49571462.0,45099730.0,39.6,24765.954,8.5337,145912025.0,30.90885072700485
Afrika,Rwanda,98745.0,1308.0,7437.568,98.52,2938657.0,0.01,3888869.0,2192888.0,1695981.0,20.3,1854.211,504.082,13276513.0,12.774295479543463
Noord-Amerika,Saint Kitts and Nevis,2412.0,19.0,45045.382,354.835,46380.0,0.105,48755.0,25946.0,22809.0,,24654.385,205.1494,53544.0,42.59861048857015
Noord-Amerika,Saint Lucia,12017.0,224.0,65167.759,1214.744,,,83448.0,47703.0,35745.0,34.9,12951.839,299.3506,184400.0,19.38449023861171
Noord-Amerika,Saint Vincent and the Grenadines,4096.0,38.0,36811.691,341.515,77176.0,,35118.0,21336.0,13782.0,31.8,10727.146,286.0231,111263.0,12.386867152602392
Oceanië,Samoa,3.0,,14.989,,,,172316.0,114698.0,57618.0,22.0,6021.557,70.4254,200149.0,28.787553272811756
Europa,San Marino,5470.0,91.0,160835.049,2675.684,,,47100.0,,24440.0,,56861.47,557.6557,34017.0,71.8464297263133
Afrika,Sao Tome and Principe,3629.0,56.0,16247.023,250.712,,,101065.0,73554.0,27511.0,18.7,3052.714,231.7095,223368.0,12.316446402349486
Azië,Saudi Arabia,547649.0,8748.0,15496.278,247.533,29430910.0,0.001,43852647.0,23731270.0,20121377.0,31.9,49045.411,16.4399,35340683.0,56.93545028544016
Afrika,Senegal,73841.0,1868.0,4294.003,108.628,828629.0,0.003,1828842.0,1263844.0,564998.0,18.7,2470.58,87.4142,17196301.0,3.2855786834622167
Europa,Serbia,1010868.0,8788.0,146328.202,1272.107,5874429.0,0.298,6655878.0,3061127.0,2929468.0,41.2,14048.881,98.432,8697550.0,33.68153100585797
Afrika,Seychelles,21769.0,118.0,220088.97,1193.004,,,,,,36.2,26382.287,218.823,98908.0,
